title,funders
It's all in the timing: calibrating temporal penalties for biomedical data sharing.,NHGRI NIH HHS| NLM NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS
Developing a data sharing community for spinal cord injury research.,NINDS NIH HHS| NINDS NIH HHS
Data sharing in large research consortia: experiences and recommendations from ENGAGE.,Wellcome Trust
A community spring for neuroscience data sharing.,NINDS NIH HHS
Privacy-Preserving Generative Deep Neural Networks Support Clinical Data Sharing.,NHLBI NIH HHS
Integration of Satellite Images and Open Data for Impervious Surface Classification,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Natural Science Foundation of Hunan Province| Hong Kong RGC| Early-Stage Research Start-up| Central South University| Central South University
An open data infrastructure for the study of anthropogenic hazards linked to georesource exploitation,Ministerstwo Nauki i Szkolnictwa Wyższego (Ministry of Science and Higher Education)| Ministerstwo Nauki i Szkolnictwa Wyższego (Ministry of Science and Higher Education)| Ministerstwo Nauki i Szkolnictwa Wyższego (Ministry of Science and Higher Education)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)| European Commission (EC)
diXa: a data infrastructure for chemical safety assessment,Wellcome Trust
SynergyChain: A Multichain-based Data Sharing Framework with Hierarchical Access Control,KeyArea Research and Development Program of Guangdong Province| National Natural Science Foundation of China| Hubei Technology Innovation Platform
Stakeholders' views on data sharing in multicenter studies.,Patient-Centered Outcomes Research Institute| Patient-Centered Outcomes Research Institute
COINSTAC: A Privacy Enabled Model and Prototype for Leveraging and Processing Decentralized Brain Imaging Data.,NIDA NIH HHS| NIBIB NIH HHS| NIBIB NIH HHS
"The National Drug Abuse Treatment Clinical Trials Network Data Share project: Website design, usage, challenges, and future directions",NIDA NIH HHS| NIDA NIH HHS| NIDA NIH HHS| PHS HHS| NIDA NIH HHS| NIDA NIH HHS| NIDA NIH HHS
"Publishing descriptions of non-public clinical datasets: proposed guidance for researchers, repositories, editors and funding organisations",Wellcome Trust
CIKM - Faceted Exploring for Domain Knowledge over Linked Open Data,Ministry of Science and Technology of the People's Republic of China| Ministry of Education of the People's Republic of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Ministry of Education Innovation Research Team| National Key Technologies R&D Program of China
Spatial data infrastructure,"Ministarstvo Prosvete, Nauke i Tehnološkog Razvoja"
Conference on Designing Interactive Systems - Visualizing Personal Rhythms: A Critical Visual Analysis of Mental Health in Flux,University of Washington Royalty Research Fund
