title,year published,funders
It's all in the timing: calibrating temporal penalties for biomedical data sharing.,2017,NHGRI NIH HHS| NLM NIH HHS
Developing a data sharing community for spinal cord injury research.,2017,NINDS NIH HHS
Data sharing in large research consortia: experiences and recommendations from ENGAGE.,2013,Wellcome Trust
A community spring for neuroscience data sharing.,2014,NINDS NIH HHS
Privacy-Preserving Generative Deep Neural Networks Support Clinical Data Sharing.,2019,NHLBI NIH HHS
Integration of Satellite Images and Open Data for Impervious Surface Classification,2019,National Natural Science Foundation of China| Central South University| Early-Stage Research Start-up| Natural Science Foundation of Hunan Province| Hong Kong RGC
An open data infrastructure for the study of anthropogenic hazards linked to georesource exploitation,2020,European Commission (EC)| Ministerstwo Nauki i Szkolnictwa Wyższego (Ministry of Science and Higher Education)
diXa: a data infrastructure for chemical safety assessment,2014,Wellcome Trust
SynergyChain: A Multichain-based Data Sharing Framework with Hierarchical Access Control,2021,KeyArea Research and Development Program of Guangdong Province| Hubei Technology Innovation Platform| National Natural Science Foundation of China
Stakeholders' views on data sharing in multicenter studies.,2017,Patient-Centered Outcomes Research Institute
COINSTAC: A Privacy Enabled Model and Prototype for Leveraging and Processing Decentralized Brain Imaging Data.,2016,NIDA NIH HHS| NIBIB NIH HHS
The National Drug Abuse Treatment Clinical Trials Network Data Share project: Website design  usage  challenges  and future directions,2013,PHS HHS| NIDA NIH HHS
Publishing descriptions of non-public clinical datasets: proposed guidance for researchers  repositories  editors and funding organisations,2016,Wellcome Trust
CIKM - Faceted Exploring for Domain Knowledge over Linked Open Data,2014,Ministry of Education Innovation Research Team| National Natural Science Foundation of China| Ministry of Science and Technology of the People's Republic of China| National Key Technologies R&D Program of China| Ministry of Education of the People's Republic of China
Spatial data infrastructure,2013,"Ministarstvo Prosvete, Nauke i Tehnološkog Razvoja"
Conference on Designing Interactive Systems - Visualizing Personal Rhythms: A Critical Visual Analysis of Mental Health in Flux,2020,University of Washington Royalty Research Fund
Implementing Partnership-driven Clinical Federated Electronic Health Record Data Sharing Networks,2016,NHLBI NIH HHS| NCATS NIH HHS
A distributed authentication and authorization scheme for in-network big data sharing,2017,EU-Japan| JSPS Grant-in-Aid for Young Scientists (B)
An information-aware visualization for privacy-preserving accelerometer data sharing,2018,National Natural Science Foundation of China
Selective end-to-end data-sharing in the cloud,2020,H2020 Security
What is the future of data sharing for research,2020,Marie Sk?odowska-Curie
Barriers to Working With National Health Service England's Open Data.,2020,Wellcome Trust
Opening clinical trial data: are the voluntary data-sharing portals enough?,2015,NIAID NIH HHS| PHS HHS
GAN-Driven Personalized Spatial-Temporal Private Data Sharing in Cyber-Physical Social Systems,2020,China Scholarship Council| National Natural Science Foundation of China| Australia ARC
Trust in genomic data sharing among members of the general public in the UK  USA  Canada and Australia.,2019,Wellcome Trust
CIKM - MithraLabel: Flexible Dataset Nutritional Labels for Responsible Data Science,2019,National Science Foundation
An Integration of blockchain and AI for secure data sharing and detection of CT images for the hospitals.,2020,China Postdoctoral Science Foundation| Postdoctoral Research Foundation of China| Department of Science and Technology of Sichuan Province| Natural Science Foundation of Sichuan Province
Joint analysis of binary and quantitative traits with data sharing and outcome-dependent sampling.,2012,NIAMS NIH HHS
The European Union's Adequacy Approach to Privacy and International Data Sharing in Health Research:,2016,NHGRI NIH HHS
Heterogeneous self-tracked health and fitness data integration and sharing according to a linked open data approach,2021,Alma Mater Studiorum - Università di Bologna| H2020 European Research Council
TR-Model. A Metadata Profile Application for Personal Data Transparency,2020,Fundação de Amparo à Pesquisa do Estado de S. Paulo
Estimating exposure of residential assets to natural hazards in Europe using open data,2020,Horizon 2020
Systemic Fairness for Sharing Health Data: Perspectives From Swiss Stakeholders.,2021,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung
Nanoinformatics workshop report: current resources  community needs and the proposal of a collaborative framework for data sharing and information integration,2013,NCI NIH HHS| CCR NIH HHS| NIEHS NIH HHS| NINDS NIH HHS
Ethical issues in computational pathology,2021,Innovate UK
Balancing the risks and benefits of genomic data sharing: genome research participants' perspectives.,2011,NHGRI NIH HHS| NCI NIH HHS
Open data models for smart health interconnected applications: the example of openEHR,2016,Seventh Framework Programme
PEARC - SeedMe: Data Sharing Building Blocks,2017,National Science Foundation
Privacy Protection and Intrusion Avoidance for Cloudlet-Based Medical Data Sharing,2020,National Natural Science Foundation of China
A study protocol of qualitative data sharing practices in clinical trials in the UK and Ireland: towards the production of good practice guidance,2021,Health Research Board
Use of an electronic health record data sharing system for identifying current contraceptive use within the WWAMI region Practice and Research Network.,2018,NCATS NIH HHS
Aggregating multiple real-world data sources using a patient-centered health-data-sharing platform,2020,FDA HHS
Response to physical rehabilitation and recovery trajectories following critical illness: individual participant data meta-analysis protocol.,2020,NHLBI NIH HHS| Chief Scientist Office [UK]| Chief Scientist Office| NINR NIH HHS
Challenges of data sharing: valuable but costly?,2016,Australian National Health and Medical Research Council Practitioner Fellowship
Building Open Access to Research (OAR) Data Infrastructure at NIST.,2019,Intramural NIST DOC
Data sharing statements for clinical trials: a requirement of the International Committee of Medical Journal Editors.,2017,World Health Organization
FAIR SCI Ahead: The Evolution of the Open Data Commons for Pre-Clinical Spinal Cord Injury Research.,2019,NIMH NIH HHS| NCATS NIH HHS| RRD VA| NINDS NIH HHS
Efficient Verifiable Key-Aggregate Keyword Searchable Encryption for Data Sharing in Outsourcing Storage,2020,Natural Science Foundation of Shandong Province| National Natural Science Foundation of China
Data sharing from pharmaceutical industry sponsored clinical studies: audit of data availability,2018,"Ashley Hopkins is a researcher funded by a Postdoctoral Fellowship from the National Breast Cancer Foundation, Australia| Cancer Council SA’s Beat Cancer Project on behalf of its donors and the State Government of South Australia through the Department of Health"
Qualitative Data Sharing: Participant Understanding  Motivation  and Consent.,2021,National Science Foundation| Eunice Kennedy Shriver National Institute of Child Health and Human Development
WWW (Companion Volume) - Mining the Web of Life Sciences Linked Open Data for Mechanism-Based Pharmacovigilance,2018,National Institutes of Health
Real-life effectiveness and safety of salbutamol Steri-Neb™ vs. Ventolin Nebules® for exacerbations in patients with COPD: Historical cohort study.,2018,"Teva Branded Pharmaceutical Products R&D, Inc. (Frazer, PA)"
Trends in Blockchain and Federated Learning for Data Sharing in Distributed Platforms,2021,National Research Foundation of Korea
The role of clothing in participation of persons with a physical disability: a scoping review protocol.,2018,Réseau provincial en recherche en adaptation-réadaptation| Office des personnes handicapées du Québec| Fonds de Recherche du Québec - Santé
Efficient and privacy-aware attribute-based data sharing in mobile cloud computing,2017,Natural Science Basic Research Plan in Shaanxi Province| New Star Team of Xi’an University of Posts and Telecommunications| National Natural Science Foundation of China| Scientific Research Program Funded by Shaanxi Provincial Education Department| National Natural Science Foundation of China (CN)
A Rubric-Driven Evaluation of Open Data Portals and Their Data in Transportation,2020,Iowa Department of Transportation
CorrectionEnabling an Open Data Ecosystem for the Neurosciences,2016,NCI NIH HHS| NIBIB NIH HHS
Mental health professionals’ perceptions on patients control of data sharing:,2020,NIMH NIH HHS
Online period estimation and determination of rhythmicity in circadian data  using the BioDare data infrastructure,2014,Biotechnology and Biological Sciences Research Council
Data-sharing recommendations in biomedical journals and randomised controlled trials: an audit of journals following the ICMJE recommendations.,2020,Agence Nationale de la Recherche
Understanding urban China with open data,2015,Humanities and Social Sciences| National Natural Science Foundation of China
Conducting Research with Tribal Communities: Sovereignty  Ethics  and Data-Sharing Issues,2011,NIEHS NIH HHS
A Blockchain-Based Secret-Data Sharing Framework for Personal Health Records in Emergency Condition.,2021,China Scholarship Council| Project of ZTE Cooperation Research| Jiangsu province key research and development program: Social development project| Jiangsu province key research and development program: Industry outlook and common key technology projects
CHI - Re-Shape: A Method to Teach Data Ethics for Data Science Education,2020,National Science Foundation
PCS: a parity-based personal data recovery service in cloud,2017,National Research Foundation of Korea
Comparison of privacy-protecting analytic and data-sharing methods: A simulation study.,2018,Patient-Centered Outcomes Research Institute| NIBIB NIH HHS
Opening Pandora’s Box: Peeking inside Psychology’s data sharing practices  and seven recommendations for change,2020,University of Lancaster
Data sharing statements for clinical trials: a requirement of the International Committee of Medical Journal Editors.,2017,World Health Organization
Anonymous Data Sharing Scheme in Public Cloud and Its Application in E-Health Record,2018,"Qing Lan Project of Jiangsu Province| 1311 Talent Plan Foundation of NUPT, NUPTSF| Open Foundation of the State Key Laboratory of Information Security of China"
Progress and Challenges in Ocean Metaproteomics and Proposed Best Practices for Data Sharing,2019,Intramural NIST DOC
Improving data sharing in research with context-free encoded missing data.,2017,Suomen Akatemia| Seventh Framework Programme (BE)
Genomic Data-Sharing Practices.,2019,NHGRI NIH HHS
SOCRATES: an online tool leveraging a social contact data sharing initiative to assess mitigation strategies for COVID-19.,2020,H2020 European Research Council
Deposit Decision Model for Data Brokers in Distributed Personal Data Markets Using Blockchain,2021,Institute of Information and Communications Technology Planning and Evaluation (IITP) Grant through Korean Government [Ministry of Science and ICT (MSIT)]| Electronics and Telecommunications Research Institute (ETRI) Grant through Korean Government
To share or not to share: a randomized trial of consent for data sharing in genome research,2011,NHGRI NIH HHS| NCI NIH HHS| NINDS NIH HHS
Examining Open Data at the Urban Level: An Exploration of “Wellbeing Toronto”,2019,SSHRC
The case for information fiduciaries: The implementation of a data ethics checklist at Seattle Children's Hospital.,2021,Andrew Carnegie Fellowship| Seattle Children’s Enterprise Analytics
Enabling Spatio-Temporal Search in Open Data,2019,"The Europe Center of Stanford University, United States| Austrian Research Promotion Agency (FFG)| Austrian Federal Ministry of Transport, Innovation and Technology (BMVIT)"
Biodiversidata: A Collaborative Initiative Towards Open Data Availability in Uruguay,2019,Agencia Nacional de Investigación e Innovación
Open Data Based Urban For-Profit Music Venues Spatial Layout Pattern Discovery,2021,HIT University Educational Research Project| National Key Research and Development Program of China
Data sharing in low-resourced research environments,2016,Leverhulme Trust
CHI - Metadating: Exploring the Romance and Future of Personal Data,2016,AHRC| EPSRC
Open Access Data Sharing in Genomic Research,2014,NHGRI NIH HHS
Genome Reconstruction Attacks Against Genomic Data-Sharing Beacons.,2021,NLM NIH HHS
Between Scylla and Charybdis: reconciling competing data management demands in the life sciences.,2016,Wellcome Trust
A Novel Workflow-Level Data Placement Strategy for Data-Sharing Scientific Cloud Workflows,2019,Key Natural Science Foundation of Education Bureau of Anhui Province| National Natural Science Foundation of China| Australian Research Council
ICEGOV - A Layered Architecture for Open Data: design  implementation and experiences,2018,Horizon 2020
Improving HIV Surveillance Data for Public Health Action in Washington  DC: A Novel Multiorganizational Data-Sharing Method,2016,NIAID NIH HHS| NCATS NIH HHS
Multicenter data sharing for collaboration in sleep medicine,2017,Berlin Institute for Applied Research (QM ROCT): IFAFQMROCT| German Federal Ministry of Education and Research| German Federal Ministry of Economic Affairs and Energy
Real-time Linked Dataspaces - Autonomic Source Selection for Real-time Predictive Analytics Using the Internet of Things and Open Data,2019,The Insight Centre for Data Analytics
DG.O - Using problem-based learning and learning analytics in open data education,2018,European Commission Erasmus+ programme
Decentralized Trusted Data Sharing Management on Internet of Vehicle Edge Computing (IoVEC) Networks Using Consortium Blockchain.,2021,The IITP (Institute of Information and Communications Technology Planning and Evaluation)
A Survey on Personal Data Cloud,2014,National Natural Science Foundation of China
Public Integrity Auditing for Dynamic Data Sharing With Multiuser Modification,2015,National Science Foundation| Amazon AWS in Education Research Grant
National Spatial Data Infrastructure India (NSDI-India)—Present Status and the Future Strategies,2018,"Indian Institute of Technology, Bombay"
Regulations  Open Data and Healthcare Innovation: A Case of MSK-IMPACT and Its Implications for Better Cancer Care,2021,Japan Society for the Promotion of Science
Gap analysis on open data interconnectivity for disaster risk research,2019,Chinese Academy of Sciences
A Collaborative Key Management Protocol in Ciphertext Policy Attribute-Based Encryption for Cloud Data Sharing,2017,"National Natural Science Foundation of China| Key Laboratory of Broadband Wireless Communication and Sensor Network Technology, Nanjing University of Posts and Telecommunications"
WISCS@CCS - Managing Data Sharing in OpenStack Swift with Over-Encryption,2016,Seventh Framework Programme| Horizon 2020
UMAP - The Role of Trust in Personal Data Sharing in the Context of e-Assessment and the Moderating Effect of Special Educational Needs,2020,Horizon 2020
Hierarchically Authorized Transactions for Massive Internet-of-Things Data Sharing Based on Multilayer Blockchain,2019,Fundamental Research Funds for the Central Universities| National Natural Science Foundation of China
BSSPD: A Blockchain-Based Security Sharing Scheme for Personal Data with Fine-Grained Access Control,2021,Natural Science Foundation of Zhejiang Province
Benefits and barriers in the design of harmonized access agreements for international data sharing.,2019,DH | National Institute for Health Research (NIHR)
Resting state fMRI: a personal history.,2012,NIA NIH HHS
Systematic review of clinical trials assessing the therapeutic efficacy of visceral leishmaniasis treatments: A first step to assess the feasibility of establishing an individual patient data sharing platform.,2017,World Health Organization
An open data repository and a data processing software toolset of an equivalent Nordic grid model matched to historical electricity market data,2017,KTH SmarTS Lab
The role of personal data value  culture and self-construal in online privacy behaviour.,2021,Arts and Humanities Research Council
Exploring pathways to trust: a tribal perspective on data sharing,2014,NHGRI NIH HHS| PHS HHS| NIGMS NIH HHS
A survey on energy harvesting and integrated data sharing in wireless body area networks,2015,Guangdong University of Petrochemical Technology’s Internal Project
Searching in CMS open data for dimuon resonances with substantial transverse momentum,2019,U.S. Department of Energy| Simons Foundation| H2020 European Research Council| Aspen Center for Physics
Effects of respiratory rehabilitation on patients with novel coronavirus (COVID-19) pneumonia in the rehabilitation phase: protocol for a systematic review and meta-analysis.,2020,Jiangsu Provincial Medical Youth Talent| Xuzhou Medical Young Talents Projects
SPDS: A Secure and Auditable Private Data Sharing Scheme for Smart Grid Based on Blockchain,2021,Science and Technology Commission of Shanghai Municipality| National Natural Science Foundation of China
Cybervetting job applicants on social media: the new normal?,2020,"Canada Excellence Research Chairs, Government of Canada"
Sharing Public Health Research Data: Toward the Development of Ethical Data-Sharing Practice in Low- and Middle-Income Settings,2015,Wellcome Trust
Evolving Government Information Processes for Service Delivery: Identifying Types & Impact,2018,KU Leuven
Efficient Hierarchical and Time-Sensitive Data Sharing with User Revocation in Mobile Crowdsensing,2021,National Natural Science Foundation of China
Are ‘pseudonymised’ data always personal data? Implications of the GDPR for administrative data research in the UK,2018,ESRC
An Incentive Mechanism for Cross-Organization Data Sharing Based on Data Competitiveness,2018,2017 Open Foundation| National Natural Science Foundation of China| Guangxi Cognitive Radio and Information Processing Key Laboratory Authorized by China’s Ministry of Education Foundation| National Infrastructure Project| Shandong Provincial Natural Science Foundation for Young Scholars of China| Shandong Provincial Scientific Research Programs in Colleges and Universities| Guangxi Provincial Education Department Foundation| Guangxi Broadband Wireless Communication and Signal Processing Key Laboratory Foundation| Open Research Fund from the Shandong Provincial Key Laboratory of Computer Network
GROUP - The Backstage Work of Data Sharing,2014,Division of Advanced Cyberinfrastructure
CitySDK Tourism API - building value around open data,2015,Seventh Framework Programme| Fundação para a Ciência e a Tecnologia
A descriptive analysis of the data availability statements accompanying medRxiv preprints and a comparison with their published counterparts.,2021,National Institute for Health Research (NIHR; https://www.nihr.ac.uk/) Doctoral Research Fellowship
Conflicts and Tentative Solutions to Protecting Personal Data in Investment Arbitration,2021,China Social Science Fund
Open sharing of genomic data : who does it and why?,2017,Universität Zürich| Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung
A reference open data vertical axis wind turbine  with individual pitch control  for code validation purposes,2018,Politecnico di Milano
Observed data of extreme rainfall events over the West African Sahel.,2018,German Federal Ministry of Education and Research| French Ministry for Europe and Foreign Affairs
WWW - PhLeGrA: Graph Analytics in Pharmacology over the Web of Life Sciences Linked Open Data,2017,NHGRI NIH HHS
Comparison of metadata quality in open data portals using the Analytic Hierarchy Process,2018,Austrian Research Promotion Agency| Horizon 2020
Efficient Privacy-Preserving Data Sharing for Fog-Assisted Vehicular Sensor Networks.,2020,"Fundamental Research Funds for the Central Universities, CHD| Natural Science Foundation of Shaanxi Province"
Making network markets in education: the development of data infrastructure in Australian schooling,2017,Australian Research Council
End-to-End Physics Event Classification with CMS Open Data: Applying Image-Based Deep Learning to Detector Data for the Direct Classification of Collision Events at the LHC,2020,U.S. Department of Energy
Data sharing  management  use  and reuse: Practices and perceptions of scientists worldwide.,2020,National Science Foundation
US Federal Government Efforts to Improve Clinical Trial Transparency with Expanded Trial Registries and Open Data Sharing.,2015,NIDDK NIH HHS
Towards Increased Understanding of Open Data Use for Software Development,2019,H2020 LEIT Information and Communication Technologies
Electronic health records  communication  and data sharing: challenges and opportunities for improving the diagnostic process.,2019,AHRQ HHS
COMPSAC - TIKD: A Trusted Integrated Knowledge Dataspace For Sensitive Healthcare Data Sharing,2021,European Regional Development Fund
Consumers’ Willingness to Share Personal Data: Implications for Newspapers’ Business Models,2016,iMinds
Quantitative Imaging Network: Data Sharing and Competitive AlgorithmValidation Leveraging The Cancer Imaging Archive.,2014,NLM NIH HHS| NCI NIH HHS| CCR NIH HHS
ICSCA - Geospatial Data Sharing: Preliminary Studies on Issues and Challenges in Natural Disaster Management,2020,"Centre for Teaching and Learning, Universiti Teknologi Malaysia"
Case identification of mental health and related problems in children and young people using the New Zealand Integrated Data Infrastructure.,2020,"Ministry of Business, Innovation and Employment"
Attitudes and practices of open data  preprinting  and peer-review-A cross sectional study on Croatian scientists.,2021,University of Rijeka
How open data ecosystems are stimulated,2017,Interreg NWE
iProX in 2021: connecting proteomics data sharing with big data.,2021,National Key Research Program of China| Program for Guangdong Introducing Innovative and Entrepreneurial Teams| National Natural Science Foundation of China| Innovation special zone
ICBCT - Block-SMPC: A Blockchain-based Secure Multi-party Computation for Privacy-Protected Data Sharing,2020,Science and Technology Commission of Shanghai Municipality| National Natural Science Foundation of China
Image data sharing for biomedical research--meeting HIPAA requirements for De-identification.,2011,NCI NIH HHS| CCR NIH HHS
The iPROMOS protocol: a stepped-wedge study to implement routine patient-reported outcomes in a medical oncology outpatient setting,2019,Queensland University of Technology| Royal Brisbane and Women’s Hospital Foundation
The PLOS ONE collection on machine learning in health and biomedicine: Towards open code and open data,2019,NIGMS NIH HHS| NIBIB NIH HHS
Comparing open data benchmarks : Which metrics and methodologies determine countries’ positions in the ranking lists?,2021,Vetenskapsrådet| European Commission
Data Sharing in Alzheimer’s Disease Research,2018,This article is published under the Creative Commons Attribution Non-commercial License.
Pediatric Data Sharing in Genomic Research: Attitudes and Preferences of Parents,2014,NHGRI NIH HHS| NLM NIH HHS| NCI NIH HHS
Intelligent conditional collaborative private data sharing,2019,EU-India REACH| EU TagItSmart! Project
Patterns in research and data sharing for the study of form and function in caviomorph rodents.,2020,Fondo Nacional de Desarrollo Científico y Tecnológico
Privacy  Trust  and Data Sharing in Web-Based and Mobile Research: Participant Perspectives in a Large Nationwide Sample of Men Who Have Sex With Men in the United States.,2018,NIDA NIH HHS
Computational CAM: studying children and media in the age of big data,2016,Northeastern University
Urgent need for a data sharing platform to promote ecological research in China,2016,National Natural Science Foundation of China| National Key Research and Development Plan| Key Project in the National Science and Technology Pillar Program of China
A Research Agenda on Open Data Impact Process for Open Innovation,2020,"Ministerio de Ciencia, Innovación y Universidades| Rey Juan Carlos University"
Blockchain Based IIoT Data Sharing Framework for SDN-Enabled Pervasive Edge Computing,2021,Key R&amp;D Program in Key Areas of Guangdong Province| Guangzhou Key Industrial Technology Project| Industrial Internet Innovation and Development Project
Moving forward from rhBMP-2: open science and data sharing.,2014,NHLBI NIH HHS| NIA NIH HHS
Global open data in agriculture and nutrition (Godan) initiative partner network analysis,2018,"Department for International Development, UK Government| Food and Agriculture Organization of the United Nations| Ministry of Economic Affairs, Dutch Government| U.S. Department of Agriculture"
Conference on Designing Interactive Systems (Companion Volume) - Designing for Sharing and Trust: Opening the Access to Personal Data,2019,H2020 Marie Sk?odowska-Curie Actions
Efficient pairing-free PRE schemes for multimedia data sharing in IoT,2017,Scientific Research Fund of Hunan Provincial Education Department| Basic Research Major Projects of Department of education of Guangdong Province| Project of Ordinary University Innovation Team Construction of Guangdong Province| Guangdong Province Natural Science Foundation of major basic research and Cultivation project| Foundation of National Natural Science of China| Collaborative Innovation Major Projects of Bureau of Education of Guangzhou City
Secure server-aided data sharing clique with attestation,2020,Natural Science Foundation of Guangxi Zhuang Autonomous Region| National Natural Science Foundation of China| Foundation of Science and Technology on Information Assurance Laboratory| National Research Foundation Singapore
Study protocol for a cohort study of patients with advanced heart failure in Singapore,2018,Health Services Research Competitive Research Grant
Win-win data sharing in neuroscience.,2017,NINDS NIH HHS
Data Science for Geoscience: Leveraging Mathematical Geosciences with Semantics and Open Data,2018,International Association of Mathematical Geosciences
WebCloud: Web-Based Cloud Storage for Secure Data Sharing across Platforms,2020,National Natural Science Foundation of China| Beijing Municipal Science and Technology Project| Key Research Project of Zhejiang Province
Data availability  reusability  and analytic reproducibility: evaluating the impact of a mandatory open data policy at the journal Cognition,2018,National Science Foundation| Laura and John Arnold Foundation
The Challenges of Big Data for Research Ethics Committees: A Qualitative Swiss Study.,2021,Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung
A funder-imposed data publication requirement seldom inspired data sharing,2018,Exxon Valdez Oil Spill Trustee Council
Reproducible and reusable research: are journal data sharing policies meeting the mark?,2017,National Institutes of Health
Cost-Effective Authentic and Anonymous Data Sharing with Forward Security,2015,"Ministry of Education of China| Fujian Normal University Innovative Research Team| National Natural Science Foundation of China| Natural Science Foundation of Fujian Province| Department of Education, Fujian Province| Fok Ying Tung Education Foundation"
Review and Perspectives on Data Sharing and Privacy in Expanding Electricity Access,2019,Directorate for Computer and Information Science and Engineering
A Secure and Lightweight Fine-Grained Data Sharing Scheme for Mobile Cloud Computing.,2020,Natural Science Foundation of Zhejiang Province| National Natural Science Foundation of China| the Opening Project of Guangdong Provincial Key Laboratory of Information Security Technology| the Key Research Project of Zhejiang Province| the Department of Education of Zhejiang Province of China| Guangxi Key Laboratory of Cryptography and Information Security
An empirical meta-analysis of the life sciences linked open data on the web,2021,U.S. Department of Health &amp; Human Services | NIH | National Human Genome Research Institute (NHGRI)| U.S. Department of Health &amp; Human Services | NIH | National Institute of General Medical Sciences (NIGMS)
International data-sharing for radiotherapy research: An open-source based infrastructure for multicentric clinical data mining,2013,NCI NIH HHS
Life-swap: how discussions around personal data can motivate desire for change,2020,Engineering and Physical Sciences Research Council
Key Implications of Data Sharing in Pediatric Genomics,2018,NHGRI NIH HHS| CIHR
An Open Data Platform for Traffic Parameters Measurement via Multirotor Unmanned Aerial Vehicles Video,2017,Ministry of Science and Technology of the People’s Republic of China
Blockchain-Enabled Secure Data Sharing Scheme in Mobile-Edge Computing: An Asynchronous Advantage Actor–Critic Learning Approach,2021,key Research and Development plan of Shaanxi province| National Natural Science Foundation of China| National Key Research and Development Program of China| Japan Society for the Promotion of Science KAKENHI Grant
Understanding the Spatial Effects of Unaffordable Housing Using the Commuting Patterns of Workers in the New Zealand Integrated Data Infrastructure,2021,"Ministry of Business, Innovation and Employment"
The effect of kinship in re-identification attacks against genomic data sharing beacons,2020,NLM NIH HHS
Secure Data Sharing: Blockchain enabled Data Access Control Framework for IoT,2021,key science and technology projects of State Grid Corporation of China
CSCW - “This has to be the cats”: Personal Data Legibility in Networked Sensing Systems,2016,Engineering and Physical Sciences Research Council
From Rosalind Franklin to Barack Obama: Data Sharing Challenges and Solutions in Genomics and Personalised Medicine.,2017,Medical Research Council
Revolutionizing Precision Oncology through Collaborative Proteogenomics and Data Sharing,2018,Intramural NIH HHS
An agenda-setting paper on data sharing platforms: euCanSHare workshop,2021,Horizon 2020 Framework Programme
DG.O - Protection and preservation of campania cultural heritage engaging local communities via the use of open data,2018,Horizon 2020
Data Sharing in the Undiagnosed Diseases Network,2015,NHGRI NIH HHS
Predicting the impact of urban flooding using open data,2016,Engineering and Physical Sciences Research Council
Reliable Policy Updating under Efficient Policy Hidden Fine-grained Access Control Framework for Cloud Data Sharing,2021,AXA Research Fund and the Singapore National Research Foundation Cybersecurity RD| National Natural Science Foundation of China| Key project of Anhui provincial department of education
The political economy of spatial data infrastructures,2017,"CONACYT – UC MEXUS| University of California, Los Angeles"
Trustworthy Blockchain-Empowered Collaborative Edge Computing-as-a-Service Scheduling and Data Sharing in the IIoE,2021,Yunnan Applied Basic Research Projects| Major scientific and technological projects in Yunnan Province| National Natural Science Foundation of China| Yunnan Young Top Talents of Ten Thousands Plan
PDGuard: an architecture for the control and secure processing of personal data,2019,H2020 European Research Council
A Secure and Lightweight Data Sharing Scheme for Internet of Medical Things,2020,Natural Science Foundation of Shandong Province| National Natural Science Foundation of China
